ALPS_phenotype,Trait,rg,SE,Z,P,External_h2_obs,External_h2_SE,External_h2_intercept,External_h2_intercept_SE,Cross_trait_intercept,Cross_trait_intercept_SE,Reliability_flag,Source_log,FDR_q,Bonferroni_significant,Nominal_significant,phenotype_label,trait_label,ci_low,ci_high,sig_label
mALPS,WMH,-0.1886,0.0457,-4.1316,3.6018e-05,0.1833,0.0172,0.9916,0.0088,-0.1015,0.0058,OK,WMH.log,0.000324162,TRUE,TRUE,Mean ALPS,WMH,-0.278172,-0.099028,Bonferroni + FDR
left ALPS,WMH,-0.1812,0.0502,-3.6092,3e-04,0.1833,0.0172,0.9916,0.0088,-0.1048,0.0058,OK,left_ALPS_WMH.log,0.0018,TRUE,TRUE,Left ALPS,WMH,-0.279592,-0.082808,Bonferroni + FDR
right ALPS,WMH,-0.187,0.0441,-4.2413,2.2219e-05,0.1833,0.0172,0.9916,0.0088,-0.0891,0.0057,OK,right_ALPS_WMH.log,0.000324162,TRUE,TRUE,Right ALPS,WMH,-0.273436,-0.100564,Bonferroni + FDR
mALPS,Stroke,-0.0066,0.0607,-0.1093,0.913,0.0119,0.0015,1.0636,0.0093,-0.0013,0.0054,OK,Stroke_FinnGen_R13.log,0.9831,FALSE,FALSE,Mean ALPS,Stroke,-0.125572,0.112372,Not corrected-significant
left ALPS,Stroke,-0.0042,0.0628,-0.0668,0.9468,0.0119,0.0015,1.0636,0.0093,-5e-04,0.0053,OK,left_ALPS_Stroke_FinnGen_R13.log,0.9831,FALSE,FALSE,Left ALPS,Stroke,-0.127288,0.118888,Not corrected-significant
right ALPS,Stroke,-0.0092,0.0612,-0.1507,0.8802,0.0119,0.0015,1.0636,0.0093,-0.002,0.0054,OK,right_ALPS_Stroke_FinnGen_R13.log,0.9831,FALSE,FALSE,Right ALPS,Stroke,-0.129152,0.110752,Not corrected-significant
mALPS,Alzheimer disease,0.0324,0.0937,0.3454,0.7298,0.0054,0.0066,1.1812,0.096,-0.0134,0.0059,LOW_EXTERNAL_H2,AD_FinnGen_R13.log,0.9831,FALSE,FALSE,Mean ALPS,Alzheimer disease,-0.151252,0.216052,Not corrected-significant
left ALPS,Alzheimer disease,0.0607,0.0986,0.6159,0.538,0.0054,0.0066,1.1812,0.096,-0.0142,0.0059,LOW_EXTERNAL_H2,left_ALPS_AD_FinnGen_R13.log,0.9684,FALSE,FALSE,Left ALPS,Alzheimer disease,-0.132556,0.253956,Not corrected-significant
right ALPS,Alzheimer disease,-0.002,0.0939,-0.0212,0.9831,0.0054,0.0066,1.1812,0.096,-0.0111,0.0058,LOW_EXTERNAL_H2,right_ALPS_AD_FinnGen_R13.log,0.9831,FALSE,FALSE,Right ALPS,Alzheimer disease,-0.186044,0.182044,Not corrected-significant
mALPS,Dementia,-0.0038,0.0697,-0.0544,0.9566,0.0098,0.0073,1.1788,0.1034,-0.0118,0.0057,LOW_EXTERNAL_H2,Dementia_FinnGen_R13.log,0.9831,FALSE,FALSE,Mean ALPS,Dementia,-0.140412,0.132812,Not corrected-significant
left ALPS,Dementia,0.0119,0.0703,0.1686,0.8661,0.0098,0.0073,1.1788,0.1034,-0.0146,0.0056,LOW_EXTERNAL_H2,left_ALPS_Dementia_FinnGen_R13.log,0.9831,FALSE,FALSE,Left ALPS,Dementia,-0.125888,0.149688,Not corrected-significant
right ALPS,Dementia,-0.0242,0.0732,-0.331,0.7406,0.0098,0.0073,1.1788,0.1034,-0.0077,0.0058,LOW_EXTERNAL_H2,right_ALPS_Dementia_FinnGen_R13.log,0.9831,FALSE,FALSE,Right ALPS,Dementia,-0.167672,0.119272,Not corrected-significant
mALPS,Insomnia,0.092,0.0502,1.8328,0.0668,0.0204,0.0016,1.0741,0.0094,-0.0037,0.0056,OK,Insomnia_FinnGen_R13.log,0.171771428571429,FALSE,FALSE,Mean ALPS,Insomnia,-0.00639200000000001,0.190392,Not corrected-significant
left ALPS,Insomnia,0.0793,0.0497,1.5945,0.1108,0.0204,0.0016,1.0741,0.0094,-9e-04,0.0055,OK,left_ALPS_Insomnia_FinnGen_R13.log,0.2493,FALSE,FALSE,Left ALPS,Insomnia,-0.018112,0.176712,Not corrected-significant
right ALPS,Insomnia,0.0988,0.0525,1.883,0.0597,0.0204,0.0016,1.0741,0.0094,-0.0059,0.0057,OK,right_ALPS_Insomnia_FinnGen_R13.log,0.171771428571429,FALSE,FALSE,Right ALPS,Insomnia,-0.00409999999999999,0.2017,Not corrected-significant
mALPS,BMI,-0.0568,0.0299,-1.8992,0.0575,0.1396,0.0077,0.6427,0.0104,0.0047,0.0055,NONSTANDARD_EXTERNAL_INTERCEPT,BMI_GIANT_Locke2015.log,0.171771428571429,FALSE,FALSE,Mean ALPS,BMI,-0.115404,0.00180399999999999,Not corrected-significant
left ALPS,BMI,-0.0728,0.0315,-2.3115,0.0208,0.1396,0.0077,0.6427,0.0104,0.0058,0.0055,NONSTANDARD_EXTERNAL_INTERCEPT,left_ALPS_BMI_GIANT_Locke2015.log,0.0936,FALSE,TRUE,Left ALPS,BMI,-0.13454,-0.01106,Not corrected-significant
right ALPS,BMI,-0.0392,0.0297,-1.3226,0.186,0.1396,0.0077,0.6427,0.0104,0.0031,0.0054,NONSTANDARD_EXTERNAL_INTERCEPT,right_ALPS_BMI_GIANT_Locke2015.log,0.372,FALSE,FALSE,Right ALPS,BMI,-0.097412,0.019012,Not corrected-significant
