TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
left_ALPS,GO_BP_2023,Positive Regulation Of Mitochondrion Organization (GO:0010822),GO_BP_2023::Positive_Regulation_Of_Mitochondrion_Organization_(GO:0010822),58,0.39923,0.022508,0.11103,0.00016227,0.6420865333333333,0.8259543,False,False
left_ALPS,Reactome_2022,Death Receptor Signaling R-HSA-73887,Reactome_2022::Death_Receptor_Signaling_R-HSA-73887,129,0.28061,0.023547,0.08117,0.00027385,0.6420865333333333,1.0,False,False
left_ALPS,GO_BP_2023,Regulation Of Proteasomal Protein Catabolic Process (GO:0061136),GO_BP_2023::Regulation_Of_Proteasomal_Protein_Catabolic_Process_(GO:0061136),48,0.47088,0.024157,0.13978,0.00037844,0.6420865333333333,1.0,False,False
left_ALPS,GO_BP_2023,Smooth Muscle Cell Differentiation (GO:0051145),GO_BP_2023::Smooth_Muscle_Cell_Differentiation_(GO:0051145),11,0.95682,0.023522,0.29984,0.00071024,0.7232041666666666,1.0,False,False
left_ALPS,GO_BP_2023,Positive Regulation Of DNA Metabolic Process (GO:0051054),GO_BP_2023::Positive_Regulation_Of_DNA_Metabolic_Process_(GO:0051054),102,0.27635,0.020636,0.089775,0.0010429,0.7232041666666666,1.0,False,False
left_ALPS,GO_BP_2023,Regulation Of Microtubule-Based Process (GO:0032886),GO_BP_2023::Regulation_Of_Microtubule-Based_Process_(GO:0032886),37,0.43851,0.019757,0.14292,0.0010782,0.7232041666666666,1.0,False,False
left_ALPS,GO_BP_2023,Inositol Lipid-Mediated Signaling (GO:0048017),GO_BP_2023::Inositol_Lipid-Mediated_Signaling_(GO:0048017),29,0.53499,0.021344,0.17482,0.0011081,0.7232041666666666,1.0,False,False
left_ALPS,GO_BP_2023,Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903050),GO_BP_2023::Regulation_Of_Proteolysis_Involved_In_Protein_Catabolic_Process_(GO:1903050),24,0.53748,0.01951,0.17651,0.0011651,0.7232041666666666,1.0,False,False
left_ALPS,GO_BP_2023,Cytoskeleton Organization (GO:0007010),GO_BP_2023::Cytoskeleton_Organization_(GO:0007010),106,0.27484,0.02092,0.091416,0.0013236,0.7232041666666666,1.0,False,False
left_ALPS,GO_BP_2023,Positive Regulation Of Ossification (GO:0045778),GO_BP_2023::Positive_Regulation_Of_Ossification_(GO:0045778),40,0.41481,0.019431,0.13965,0.0014899,0.7232041666666666,1.0,False,False
left_ALPS,Reactome_2022,CRMPs In Sema3A Signaling R-HSA-399956,Reactome_2022::CRMPs_In_Sema3A_Signaling_R-HSA-399956,15,0.7262,0.020845,0.2469,0.0016368,0.7232041666666666,1.0,False,False
left_ALPS,GO_BP_2023,Endothelium Development (GO:0003158),GO_BP_2023::Endothelium_Development_(GO:0003158),12,0.8742,0.022446,0.2985,0.001705,0.7232041666666666,1.0,False,False
left_ALPS,GO_BP_2023,Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030947),GO_BP_2023::Regulation_Of_Vascular_Endothelial_Growth_Factor_Receptor_Signaling_Pathway_(GO:0030947),22,0.55798,0.019393,0.19612,0.0022234,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Protein Targeting To Lysosome (GO:0006622),GO_BP_2023::Protein_Targeting_To_Lysosome_(GO:0006622),23,0.59348,0.02109,0.21252,0.002618,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Calcium Ion Import (GO:0070509),GO_BP_2023::Calcium_Ion_Import_(GO:0070509),11,0.79286,0.019492,0.28793,0.0029504,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Positive Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903052),GO_BP_2023::Positive_Regulation_Of_Proteolysis_Involved_In_Protein_Catabolic_Process_(GO:1903052),28,0.53278,0.020887,0.19488,0.0031338,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Regulation Of Lipid Transport (GO:0032368),GO_BP_2023::Regulation_Of_Lipid_Transport_(GO:0032368),10,0.61279,0.014364,0.22563,0.0033088,0.8503912258064517,1.0,False,False
left_ALPS,Reactome_2022,NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,Reactome_2022::NR1H2_And_NR1H3-mediated_Signaling_R-HSA-9024446,45,0.35468,0.017619,0.1309,0.003373,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Chromatin Organization (GO:0006325),GO_BP_2023::Chromatin_Organization_(GO:0006325),245,0.15484,0.017849,0.057644,0.0036178,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Myotube Differentiation (GO:0014902),GO_BP_2023::Myotube_Differentiation_(GO:0014902),23,0.51319,0.018237,0.1933,0.0039714,0.8503912258064517,1.0,False,False
left_ALPS,Reactome_2022,Regulation Of BACH1 Activity R-HSA-9708530,Reactome_2022::Regulation_Of_BACH1_Activity_R-HSA-9708530,11,0.83778,0.020596,0.31774,0.0041903,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Regulation Of Dendrite Morphogenesis (GO:0048814),GO_BP_2023::Regulation_Of_Dendrite_Morphogenesis_(GO:0048814),28,0.48043,0.018835,0.18378,0.0044773,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Positive Regulation Of DNA Replication (GO:0045740),GO_BP_2023::Positive_Regulation_Of_DNA_Replication_(GO:0045740),18,0.57403,0.018048,0.22085,0.0046777,0.8503912258064517,1.0,False,False
left_ALPS,Reactome_2022,P75 NTR Receptor-Mediated Signaling R-HSA-193704,Reactome_2022::P75_NTR_Receptor-Mediated_Signaling_R-HSA-193704,88,0.25764,0.017876,0.099575,0.0048406,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058),GO_BP_2023::Regulation_Of_Epidermal_Growth_Factor_Receptor_Signaling_Pathway_(GO:0042058),45,0.35508,0.017639,0.13782,0.0049964,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Negative Regulation Of MAP Kinase Activity (GO:0043407),GO_BP_2023::Negative_Regulation_Of_MAP_Kinase_Activity_(GO:0043407),50,0.32339,0.016932,0.12719,0.005508,0.8503912258064517,1.0,False,False
left_ALPS,GO_BP_2023,Negative Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010745),GO_BP_2023::Negative_Regulation_Of_Macrophage_Derived_Foam_Cell_Differentiation_(GO:0010745),12,0.60902,0.015637,0.24041,0.0056548,0.8503912258064517,1.0,False,False
left_ALPS,Reactome_2022,DCC Mediated Attractive Signaling R-HSA-418885,Reactome_2022::DCC_Mediated_Attractive_Signaling_R-HSA-418885,14,0.68022,0.018864,0.27188,0.0061818,0.8503912258064517,1.0,False,False
left_ALPS,Reactome_2022,Semaphorin Interactions R-HSA-373755,Reactome_2022::Semaphorin_Interactions_R-HSA-373755,62,0.29646,0.017278,0.11912,0.0064138,0.8503912258064517,1.0,False,False
