TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
right_ALPS,GO_BP_2023,Proteasomal Protein Catabolic Process (GO:0010498),GO_BP_2023::Proteasomal_Protein_Catabolic_Process_(GO:0010498),212,0.22392,0.024032,0.062536,0.00017193,0.5916865306122449,0.8751237,False,False
right_ALPS,GO_BP_2023,Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:0097192),GO_BP_2023::Extrinsic_Apoptotic_Signaling_Pathway_In_Absence_Of_Ligand_(GO:0097192),16,0.77578,0.022998,0.22889,0.00035123,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,CRMPs In Sema3A Signaling R-HSA-399956,Reactome_2022::CRMPs_In_Sema3A_Signaling_R-HSA-399956,15,0.82512,0.023685,0.249,0.0004614,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Positive Regulation Of Intracellular Protein Transport (GO:0090316),GO_BP_2023::Positive_Regulation_Of_Intracellular_Protein_Transport_(GO:0090316),120,0.27854,0.022549,0.0849,0.00051875,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Hedgehog On State R-HSA-5632684,Reactome_2022::Hedgehog_On_State_R-HSA-5632684,83,0.36455,0.024569,0.1127,0.00061009,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Calcium Ion Import (GO:0070509),GO_BP_2023::Calcium_Ion_Import_(GO:0070509),11,0.90338,0.022208,0.29039,0.0009342,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Cellular Response To Chemical Stress R-HSA-9711123,Reactome_2022::Cellular_Response_To_Chemical_Stress_R-HSA-9711123,176,0.20681,0.020244,0.068834,0.0013326,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),GO_BP_2023::Negative_Regulation_Of_Protein_Serine/Threonine_Kinase_Activity_(GO:0071901),79,0.3056,0.020096,0.10207,0.0013794,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Regulation Of Cytoskeleton Organization (GO:0051493),GO_BP_2023::Regulation_Of_Cytoskeleton_Organization_(GO:0051493),108,0.26856,0.020632,0.089911,0.0014113,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)","GO_BP_2023::Wnt_Signaling_Pathway,_Planar_Cell_Polarity_Pathway_(GO:0060071)",26,0.54074,0.020429,0.18268,0.0015402,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,Reactome_2022::Acetylcholine_Neurotransmitter_Release_Cycle_R-HSA-264642,17,0.6419,0.019614,0.21867,0.001668,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Regulation Of Proteolysis (GO:0030162),GO_BP_2023::Regulation_Of_Proteolysis_(GO:0030162),50,0.37316,0.019537,0.12745,0.0017085,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,"Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741","Reactome_2022::Cobalamin_(Cbl,_Vitamin_B12)_Transport_And_Metabolism_R-HSA-196741",21,0.66416,0.022553,0.22891,0.0018603,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,post-Golgi Vesicle-Mediated Transport (GO:0006892),GO_BP_2023::post-Golgi_Vesicle-Mediated_Transport_(GO:0006892),54,0.40114,0.021824,0.13849,0.0018891,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),GO_BP_2023::Proteasome-Mediated_Ubiquitin-Dependent_Protein_Catabolic_Process_(GO:0043161),307,0.14998,0.01932,0.052077,0.0019907,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Negative Regulation Of Cell Differentiation (GO:0045596),GO_BP_2023::Negative_Regulation_Of_Cell_Differentiation_(GO:0045596),201,0.17916,0.018729,0.062989,0.0022285,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Cardiac Atrium Morphogenesis (GO:0003209),GO_BP_2023::Cardiac_Atrium_Morphogenesis_(GO:0003209),18,0.63408,0.019936,0.22372,0.0022999,0.5916865306122449,1.0,False,False
